# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
5950 145.35 -311676 -657.374 163846 73.2476 72.9685 35.3978 120 -122.688 -1021.62 -827.816 -1730.04 -438.564 -352.096
6000 145.398 -311674 -432.787 163872 73.2468 72.9757 35.4003 120 -18.0293 -352.67 -927.663 -1795.44 -842.634 -460.9
6050 146.217 -311674 -329.273 163881 73.2447 72.9803 35.401 120 216.202 -855.259 -348.761 -1887.63 -667.951 -448.179
6100 145.662 -311672 -549.614 163875 73.2424 72.981 35.4006 120 228.44 -539.114 -1338.17 -1981.8 -1128.65 -748.823
6150 147.482 -311674 1.27667 163859 73.2407 72.979 35.3988 120 756.66 -554.042 -198.788 -1843.48 -1199.17 -997.805
6200 146.521 -311672 -66.1114 163840 73.2404 72.9751 35.3968 120 311.925 -426.126 -84.1332 -1576.04 -1256.69 -319.574
6250 147.112 -311674 -293.464 163817 73.2412 72.969 35.3945 120 -953.176 -139.598 212.381 -1954.36 190.528 -1068.83
6300 146.845 -311675 517.714 163790 73.2411 72.9622 35.392 120 966.848 23.554 562.742 -2071.37 -1251.06 -171.409
6350 147.08 -311677 505.384 163771 73.2431 72.9555 35.3902 120 1162.49 87.799 265.863 -2186.12 -806.357 -419.59
6400 144.489 -311674 63.6326 163764 73.2484 72.9486 35.3893 120 368.686 -340.637 162.849 -1996.31 -582.583 -309.972
6450 145.942 -311677 868.919 163763 73.2558 72.9418 35.3889 120 183.732 1322.16 1100.87 -2102.99 -868.19 -898.441
6500 145.785 -311678 669.896 163776 73.264 72.9384 35.3894 120 220.875 810.729 978.085 -2053.78 -1420.41 -684.448
6550 145.265 -311677 -43.3134 163801 73.2725 72.9373 35.3913 120 -736.81 265.375 341.495 -2579.44 -812.485 -964.171
6600 145.173 -311676 -603.946 163830 73.2797 72.937 35.3941 120 -899.881 -268.71 -643.248 -2275.46 -897.913 -939.21
6650 145.553 -311675 -481.337 163854 73.2849 72.9372 35.3967 120 -797.658 -61.3551 -585 -2579.9 -1335.7 -1249.3
6700 145.782 -311672 -1010.4 163873 73.2873 72.9389 35.3988 120 -1300.85 -590.517 -1139.82 -2034.29 -317.939 -20.7411
6750 145.453 -311670 -637.098 163872 73.2851 72.94 35.3992 120 -784.888 -442.446 -683.959 -2299.46 -996.134 -1092.17
6800 146.947 -311672 -203.355 163850 73.2784 72.9401 35.3977 120 -947.578 260.48 77.0338 -2264.88 -162.017 -763.114
6850 147.443 -311673 592.807 163820 73.2691 72.9396 35.3959 120 -405.924 1349.44 834.903 -1978.48 -1646.08 -1039.07
6900 145.682 -311672 540.933 163798 73.2591 72.942 35.3947 120 508.728 634.056 480.017 -1838.26 -998.774 -675.461
