# Time-averaged data for fix 2
# TimeStep c_thermo_temp c_thermo_pe c_thermo_press v_myVol v_myCella v_myCellb v_myCellc v_myCellgamma c_thermo_press[1] c_thermo_press[2] c_thermo_press[3] c_thermo_press[4] c_thermo_press[5] c_thermo_press[6]
6200 25.2999 -311863 -39.0937 163189 72.8871 72.9986 35.4156 120 -189.787 -190.701 263.206 242.338 -1711.8 -70.4631
6250 25.1337 -311863 -155.219 163201 72.8908 72.9951 35.4182 120 -262.466 24.1774 -227.369 151.783 -1611.96 -714.543
6300 24.6145 -311863 -62.5556 163190 72.8887 72.9915 35.4185 120 -175.943 47.0806 -58.8041 194.23 -1743.6 -402.046
6350 24.3623 -311864 445.854 163160 72.8819 72.9873 35.4172 120 505.738 565.092 266.732 469.42 -1898.92 -506.176
6400 24.4642 -311864 -193.453 163175 72.8828 72.9928 35.4175 120 -230.064 22.9419 -373.238 420.481 -2011.3 -508.931
6450 24.4776 -311864 -28.018 163182 72.8838 72.999 35.4155 120 -164.175 -53.9733 134.094 298.083 -1772.62 -753.614
6500 24.7017 -311864 318.965 163178 72.8833 72.9999 35.4145 120 389.39 -88.7969 656.3 462.636 -1678.64 -204.929
6550 24.9498 -311863 -163.577 163188 72.8866 72.9958 35.4171 120 -285.164 -44.3089 -161.257 465.542 -2069.88 -542.616
6600 25.1242 -311863 -109.617 163177 72.8863 72.9891 35.4181 120 -326.928 -71.3196 69.3968 477.161 -1831.86 -396.374
6650 25.42 -311863 270.903 163152 72.8825 72.9823 35.4177 120 168.486 697.023 -52.7995 402.001 -1821.19 -682.798
6700 25.3297 -311862 189.358 163152 72.8819 72.9857 35.4165 120 55.195 412.678 100.201 157.324 -2062.4 -467.035
6750 25.4002 -311862 83.9718 163172 72.8845 72.9934 35.4158 120 256.316 -312.79 308.39 366.643 -2019.45 -287.816
6800 25.426 -311862 -283.126 163184 72.8876 72.9955 35.4158 120 -138.511 -443.835 -267.03 507.898 -1831.59 -250.509
6850 25.019 -311863 253.558 163163 72.8863 72.9902 35.4145 120 198.119 93.9992 468.556 353.11 -1747.8 -363.176
6900 25.047 -311864 195.029 163164 72.8844 72.9886 35.4163 120 -116.972 417.979 284.08 422.333 -1621.92 -588.575
6950 24.5758 -311863 -57.776 163184 72.8823 72.9929 35.4196 120 -33.8254 169.917 -309.42 315.169 -1641.65 -394.86
7000 24.4042 -311864 -35.1166 163198 72.8845 72.9949 35.4207 120 219.831 -273.052 -52.1287 397.115 -1976.37 -549.698
7050 24.4361 -311864 -114.773 163191 72.8888 72.9903 35.4193 120 36.2665 -42.5242 -338.06 351.985 -1788.59 -506.278
7100 24.5816 -311864 -57.8382 163164 72.8902 72.9857 35.415 120 -235.57 59.2703 2.78464 253.202 -1654.85 -210.499
7150 24.5526 -311863 388.543 163145 72.8892 72.9841 35.412 120 18.7201 508.454 638.454 -100.369 -1891.59 -311.205
7200 25.1888 -311863 32.816 163163 72.888 72.989 35.4143 120 59.8194 54.8672 -16.2387 180.725 -1988.62 -562.107
7250 25.4278 -311863 -131.695 163185 72.886 72.9936 35.4177 120 -59.8251 -84.875 -250.385 241.983 -1812.11 -180.503
7300 25.3139 -311862 -237.933 163191 72.8821 72.9977 35.4189 120 -351.459 -281.918 -80.4204 471.831 -1956.03 -502.562
7350 25.5621 -311863 5.38728 163172 72.8753 72.9978 35.4181 120 298.861 -89.6211 -193.078 463.923 -1693.02 -255.974
7400 25.6721 -311863 381.435 163156 72.8737 72.9965 35.416 120 542.739 249.353 352.213 589.761 -1860.48 -507.174
